"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-01","2020","01","01","","-0.7","","-4.9","","-2.8","","20.8","","0.0","","","","","","1.5","","20","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-02","2020","01","02","","-0.2","","-2.4","","-1.3","","19.3","","0.0","","","","","","0.7","","19","","25","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-03","2020","01","03","","2.4","","-1.3","","0.5","","17.5","","0.0","","","","","","0.2","","18","","25","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-04","2020","01","04","","1.4","","-3.1","","-0.8","","18.8","","0.0","","","","","","1.0","","14","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-05","2020","01","05","","-3.1","","-14.3","","-8.7","","26.7","","0.0","","","","","","0.8","","15","","32","","36",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-06","2020","01","06","","-8.4","","-16.4","","-12.4","","30.4","","0.0","","","","","","2.2","","16","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-07","2020","01","07","","-5.2","","-12.1","","-8.6","","26.6","","0.0","","","","","","0.2","","17","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-08","2020","01","08","","-2.8","","-11.3","","-7.1","","25.1","","0.0","","","","","","1.5","","18","","28","","36",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-09","2020","01","09","","-10.5","","-16.7","","-13.6","","31.6","","0.0","","","","","","0.0","","19","","24","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-10","2020","01","10","","1.2","","-13.1","","-6.0","","24.0","","0.0","","","","","","0.4","","18","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-11","2020","01","11","","1.6","","-3.6","","-1.0","","19.0","","0.0","","","","","","39.8","","17","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-12","2020","01","12","","-3.6","","-10.8","","-7.2","","25.2","","0.0","","","","","","19.7","","30","","5","","65",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-13","2020","01","13","","-9.0","","-16.8","","-12.9","","30.9","","0.0","","","","","","1.4","","35","","8","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2020-01-14","2020","01","14","","-7.8","","-20.3","","-14.1","","32.1","","0.0","","","","","","1.5","","36","","","","",""
