"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-01","1962","01","01","","3.9","","1.1","","2.5","","15.5","","0.0","","0.3","","0.0","","0.3","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-02","1962","01","02","","9.4","","2.2","","5.8","","12.2","","0.0","","48.0","","0.0","","48.0","","0","","14","","55",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-03","1962","01","03","","10.0","","6.1","","8.1","","9.9","","0.0","","10.9","","0.0","","10.9","","0","","25","","72",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-04","1962","01","04","","7.8","","4.4","","6.1","","11.9","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-05","1962","01","05","","10.0","","5.6","","7.8","","10.2","","0.0","","4.6","","0.0","","4.6","","0","","11","","60",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-06","1962","01","06","","7.2","","3.3","","5.3","","12.7","","0.0","","13.0","","0.0","","13.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-07","1962","01","07","","7.2","","3.9","","5.6","","12.4","","0.0","","1.8","","0.0","","1.8","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-08","1962","01","08","","9.4","","5.6","","7.5","","10.5","","0.0","","3.6","","0.0","","3.6","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-09","1962","01","09","","8.9","","0.6","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-10","1962","01","10","","8.3","","1.7","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-11","1962","01","11","","5.6","","-1.7","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-12","1962","01","12","","4.4","","0.6","","2.5","","15.5","","0.0","","4.6","","0.0","","4.6","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-13","1962","01","13","","2.8","","0.0","","1.4","","16.6","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-14","1962","01","14","","4.4","","0.0","","2.2","","15.8","","0.0","","3.6","","5.8","","9.4","","3","","27","","56",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-15","1962","01","15","","2.2","","-0.6","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-16","1962","01","16","","1.7","","-0.6","","0.6","","17.4","","0.0","","4.6","","7.4","","11.4","","3","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-17","1962","01","17","","1.1","","-5.0","","-2.0","","20.0","","0.0","","0.0","T","13.5","","10.4","","18","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-18","1962","01","18","","-1.7","","-8.9","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-19","1962","01","19","","-1.7","","-11.1","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-20","1962","01","20","","-0.6","","-12.8","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-21","1962","01","21","","1.7","","-10.0","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-22","1962","01","22","","0.0","","-6.1","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-23","1962","01","23","","1.1","","-1.7","","-0.3","","18.3","","0.0","","0.0","T","5.8","","5.8","","8","","9","","37",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-24","1962","01","24","","5.6","","0.0","","2.8","","15.2","","0.0","","3.0","","1.8","","5.3","","10","","18","","53",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-25","1962","01","25","","8.9","","3.3","","6.1","","11.9","","0.0","","2.0","","0.0","","2.0","","0","T","14","","42",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-26","1962","01","26","","8.3","","2.8","","5.6","","12.4","","0.0","","12.2","","0.0","","12.2","","0","","14","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-27","1962","01","27","","10.6","","6.1","","8.4","","9.6","","0.0","","0.0","","0.0","","0.0","","0","","16","","42",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-28","1962","01","28","","11.1","","5.6","","8.4","","9.6","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-29","1962","01","29","","9.4","","2.2","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-30","1962","01","30","","8.3","","2.2","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","32","","37",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-01-31","1962","01","31","","10.0","","2.2","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-01","1962","02","01","","10.0","","6.1","","8.1","","9.9","","0.0","","2.5","","0.0","","2.5","","0","","7","","31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-02","1962","02","02","","13.3","","8.9","","11.1","","6.9","","0.0","","0.8","","0.0","","0.8","","0","","11","","35",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-03","1962","02","03","","11.1","","7.2","","9.2","","8.8","","0.0","","32.3","","0.0","","32.3","","0","","32","","58",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-04","1962","02","04","","9.4","","2.8","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-05","1962","02","05","","8.3","","0.0","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-06","1962","02","06","","10.6","","2.8","","6.7","","11.3","","0.0","","3.3","","0.0","","3.3","","0","","11","","58",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-07","1962","02","07","","15.0","","6.1","","10.6","","7.4","","0.0","","2.5","","0.0","","2.5","","0","","5","","37",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-08","1962","02","08","","10.6","","7.2","","8.9","","9.1","","0.0","","3.0","","0.0","","3.0","","0","","11","","42",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-09","1962","02","09","","10.0","","6.1","","8.1","","9.9","","0.0","","0.5","","0.0","","0.5","","0","","29","","40",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-10","1962","02","10","","10.6","","6.1","","8.4","","9.6","","0.0","","1.3","","0.0","","1.3","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-11","1962","02","11","","10.0","","5.0","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-12","1962","02","12","","13.3","","5.0","","9.2","","8.8","","0.0","","0.5","","0.0","","0.5","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-13","1962","02","13","","12.8","","6.1","","9.5","","8.5","","0.0","","2.0","","0.0","","2.0","","0","","29","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-14","1962","02","14","","8.3","","5.6","","7.0","","11.0","","0.0","","15.0","","0.0","","15.0","","0","","9","","42",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-15","1962","02","15","","7.8","","0.0","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-16","1962","02","16","","8.9","","1.7","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-17","1962","02","17","","10.0","","1.1","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-18","1962","02","18","","8.9","","2.8","","5.9","","12.1","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-19","1962","02","19","","7.8","","2.8","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","29","","48",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-20","1962","02","20","","7.2","","0.0","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-21","1962","02","21","","8.3","","-1.7","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-22","1962","02","22","","9.4","","1.7","","5.6","","12.4","","0.0","","0.0","T","0.0","","0.0","T","0","","29","","61",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-23","1962","02","23","","6.1","","-1.7","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","0","","5","","45",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-24","1962","02","24","","3.3","","-4.4","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-25","1962","02","25","","4.4","","-5.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-26","1962","02","26","","2.8","","-7.2","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-27","1962","02","27","","1.1","","-3.9","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","0","","9","","40",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-02-28","1962","02","28","","1.7","","-2.2","","-0.3","","18.3","","0.0","","0.0","","0.3","","0.3","","0","T","5","","39",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-01","1962","03","01","","3.9","","-3.9","","0.0","","18.0","","0.0","","0.0","","9.7","","4.1","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-02","1962","03","02","","0.6","","-2.8","","-1.1","","19.1","","0.0","","0.0","","25.9","","11.2","","33","","29","","37",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-03","1962","03","03","","2.8","","-1.7","","0.6","","17.4","","0.0","","0.0","","0.0","T","0.0","T","28","","29","","39",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-04","1962","03","04","","3.3","","-2.2","","0.6","","17.4","","0.0","","7.4","","8.6","","17.8","","18","","7","","48",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-05","1962","03","05","","6.1","","1.7","","3.9","","14.1","","0.0","","10.2","","0.0","","10.2","","13","","29","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-06","1962","03","06","","8.3","","2.8","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","0","T","27","S","42",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-07","1962","03","07","","8.3","","-2.2","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-08","1962","03","08","","8.3","","2.2","","5.3","","12.7","","0.0","","0.0","T","0.0","","0.0","T","0","","27","","90",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-09","1962","03","09","","8.9","","-2.2","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-10","1962","03","10","","7.8","","-0.6","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-11","1962","03","11","","6.7","","0.0","","3.4","","14.6","","0.0","","0.0","","8.1","","8.1","","3","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-12","1962","03","12","","8.9","","-1.1","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-13","1962","03","13","","8.3","","-1.7","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-14","1962","03","14","","11.7","","1.1","","6.4","","11.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-15","1962","03","15","","13.3","","5.6","","9.5","","8.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-16","1962","03","16","","11.7","","5.0","","8.4","","9.6","","0.0","","3.0","","0.0","","3.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-17","1962","03","17","","10.6","","0.6","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-18","1962","03","18","","7.8","","1.1","","4.5","","13.5","","0.0","","3.0","","0.0","","3.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-19","1962","03","19","","8.9","","3.9","","6.4","","11.6","","0.0","","3.0","","0.0","","3.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-20","1962","03","20","","7.8","","2.8","","5.3","","12.7","","0.0","","14.5","","0.0","","14.5","","0","","29","","58",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-21","1962","03","21","","5.0","","1.1","","3.1","","14.9","","0.0","","6.6","","0.0","T","6.6","","0","","11","","42",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-22","1962","03","22","","9.4","","2.8","","6.1","","11.9","","0.0","","3.8","","0.0","","3.8","","0","","14","","45",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-23","1962","03","23","","8.3","","3.3","","5.8","","12.2","","0.0","","5.1","","0.0","","5.1","","0","","14","","50",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-24","1962","03","24","","8.9","","3.9","","6.4","","11.6","","0.0","","1.0","","0.0","","1.0","","0","","14","","34",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-25","1962","03","25","","10.6","","2.8","","6.7","","11.3","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-26","1962","03","26","","11.1","","3.3","","7.2","","10.8","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-27","1962","03","27","","8.9","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","29","","50",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-28","1962","03","28","","10.0","","0.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","32","","34",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-29","1962","03","29","","12.8","","0.6","","6.7","","11.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-30","1962","03","30","","15.6","","1.7","","8.7","","9.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-03-31","1962","03","31","","13.9","","3.3","","8.6","","9.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-04-01","1962","04","01","","12.8","","3.3","","8.1","","9.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1962-04-02","1962","04","02","","10.6","","5.0","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
